ticker,company_name,close,price_change_pct,volume,exchange
MNKD,MannKind Corporation,2.595,-4.6,3012641,NASDAQ Global Market
INTU,Intuit Inc.,452.71,-4.49,3010590,Nasdaq Global Select
NVS,Novartis AG,161.63,0.17,2999917,New York Stock Exchange
DOC,Physicians Realty Trust of Beneficial Interest,17.395,-0.03,2988847,New York Stock Exchange
SYF,Synchrony Financial,66.09,-1.81,2985940,New York Stock Exchange
EWC,iShares MSCI Canada Index Fund,56.705,0.13,2985898,NYSE Arca
O,Realty Income Corporation,65.05,0.45,2985271,New York Stock Exchange
TGT,Target Corporation,121.01,1.27,2979440,New York Stock Exchange
IGIB,iShares Intermediate Credit Bond ETF,53.8299,-0.2,2979376,NASDAQ Global Market
GSG,iShares GSCI Commodity-Indexed Trust Fund,29.11,-1.52,2966308,NYSE Arca
GTLS,Chart Industries Inc.,206.91,-0.04,2944741,Nasdaq Global Select
TRIP,TripAdvisor Inc.,10.15,-4.34,2935176,Nasdaq Global Select
ARR,ARMOUR Residential REIT Inc.,17.755,2.57,2933970,New York Stock Exchange
SHV,iShares Short Treasury Bond ETF,110.188,0.01,2928834,NASDAQ Global Market
FSK,FS KKR Capital Corp.,10.575,-1.81,2920013,New York Stock Exchange
ACWX,iShares MSCI ACWI ex US Index Fund,70.45,-0.07,2917519,NASDAQ Global Market
STNE,StoneCo Ltd.,14.06,0.64,2882301,Nasdaq Global Select
KMB,Kimberly-Clark Corporation,102.58,-0.29,2880672,New York Stock Exchange
MAGS,Magal Security Systems Ltd.,62.0039,0.35,2876974,NASDAQ Global Market
IYW,iShares U.S. Technology,192.2,0.24,2873686,NYSE Arca
VOD,Vodafone Group Plc,14.43,-0.96,2853275,Nasdaq Global Select
VLO,Valero Energy Corporation,217.15,0.53,2850763,New York Stock Exchange
STX,Seagate Technology PLC,387.73,2.59,2849006,Nasdaq Global Select
EFV,iShares MSCI EAFE Value,75.0,-0.25,2847756,Cboe Global Markets EDGX
AI,Arlington Asset Investment Corp Class A (new),8.9061,-3.82,2841397,New York Stock Exchange
BILI,Bilibili Inc.,26.8434,2.03,2838092,Nasdaq Global Select
BHP,BHP Group Limited American Depositary Shares (Each representing two),74.085,0.69,2836013,New York Stock Exchange
UA,Under Armour Inc. Class C,6.45,3.7,2834283,New York Stock Exchange
VICI,VICI Properties Inc.,29.345,-0.22,2824567,New York Stock Exchange
GDS,GDS Holdings Limited,43.945,4.38,2804043,NASDAQ Global Market
QURE,uniQure N.V.,18.42,2.73,2803315,Nasdaq Global Select
ADI,Analog Devices Inc.,319.31,-0.13,2786930,Nasdaq Global Select
VNOM,Viper Energy Partners LP,43.19,-1.28,2785128,Nasdaq Global Select
HON,Honeywell International Inc.,244.3045,3.17,2768413,New York Stock Exchange
SCHO,Schwab Short-Term U.S. Treasury,24.32,-0.04,2760507,NYSE Arca
